Name,Category,Barcode,Brand,Current Stock (Fill In),Cost Price (Fill In),Selling Price (Fill In)
Ball pin,Cosmetics,,,,,
Bindi,Cosmetics,,,,,
Bleach,Cosmetics,,,,,
Bobbin,Cosmetics,,,,,
Bobbin case,Cosmetics,,,,,
Body wash,Cosmetics,,,,,
Caulk,Cosmetics,,,,,
City gold bangles,Cosmetics,,,,,
Combs,Cosmetics,,,,,
Comfort,Cosmetics,,,,,
Diaper,Cosmetics,,,,,
Dori,Cosmetics,,,,,
Earing,Cosmetics,,,,,
Eye .......,Cosmetics,,,,,
Eyeliner,Cosmetics,,,,,
Face cream,Cosmetics,,,,,
Face spray,Cosmetics,,,,,
Face wash,Cosmetics,,,,,
False,Cosmetics,,,,,
Glass bangles,Cosmetics,,,,,
Gulab jal,Cosmetics,,,,,
Hair band,Cosmetics,,,,,
Hair clip,Cosmetics,,,,,
Hair colour,Cosmetics,,,,,
Hair remove,Cosmetics,,,,,
Head shampoo,Cosmetics,,,,,
Hook,Cosmetics,,,,,
Kajal,Cosmetics,,,,,
Lace,Cosmetics,,,,,
Lip balm,Cosmetics,,,,,
Lipstick,Cosmetics,,,,,
Make up brush,Cosmetics,,,,,
Make up kit,Cosmetics,,,,,
Mascara,Cosmetics,,,,,
Mehendi,Cosmetics,,,,,
Mirror,Cosmetics,,,,,
Nail polish,Cosmetics,,,,,
Neck lace set,Cosmetics,,,,,
Needle,Cosmetics,,,,,
Nose pin,Cosmetics,,,,,
Nose ring,Cosmetics,,,,,
Oil,Cosmetics,,,,,
Oils,Cosmetics,,,,,
Pad,Cosmetics,,,,,
Payal,Cosmetics,,,,,
Perfume,Cosmetics,,,,,
Pipe in,Cosmetics,,,,,
Powder,Cosmetics,,,,,
Purse bag,Cosmetics,,,,,
Red pola bangles,Cosmetics,,,,,
Revive,Cosmetics,,,,,
Ring,Cosmetics,,,,,
Room freshener,Cosmetics,,,,,
Sankha bangles,Cosmetics,,,,,
Sindoor,Cosmetics,,,,,
Tape,Cosmetics,,,,,
Thread,Cosmetics,,,,,
Toe ring,Cosmetics,,,,,
Wipes,Cosmetics,,,,,
Yarn cutter,Cosmetics,,,,,
Bowl set,Gift Items,,,,,
Coffee set,Gift Items,,,,,
Cup & plate set,Gift Items,,,,,
Cup set,Gift Items,,,,,
Dinner set,Gift Items,,,,,
Glass set,Gift Items,,,,,
ABIR,Puja Samagri,,,,,
ALTA,Puja Samagri,,,,,
ASAN ANGURI,Puja Samagri,,,,,
ASTA GANDHA,Puja Samagri,,,,,
ATOP CHAL,Puja Samagri,,,,,
BORON KULO,Puja Samagri,,,,,
CHAMOR 1,Puja Samagri,,,,,
CHAMOR 2,Puja Samagri,,,,,
CHANDAN KATH 1,Puja Samagri,,,,,
CHANDAN KATH 2,Puja Samagri,,,,,
CHANDMALA,Puja Samagri,,,,,
DHAN,Puja Samagri,,,,,
DHUNA,Puja Samagri,,,,,
DHUPKATHI 1,Puja Samagri,,,,,
DHUPKATHI 2,Puja Samagri,,,,,
DHUPKATHI 3,Puja Samagri,,,,,
DHUPKATHI 4,Puja Samagri,,,,,
DHUPKATHI 5,Puja Samagri,,,,,
DHUPKATHI 6,Puja Samagri,,,,,
DHUTI,Puja Samagri,,,,,
GAMCHA,Puja Samagri,,,,,
GANGA JAL,Puja Samagri,,,,,
GANGA MATI,Puja Samagri,,,,,
GHEE,Puja Samagri,,,,,
GHUMSI KALO,Puja Samagri,,,,,
GITA,Puja Samagri,,,,,
GOL TULO,Puja Samagri,,,,,
HARITOKI,Puja Samagri,,,,,
HAWAN KATH GURO,Puja Samagri,,,,,
HAWAN LAKDI,Puja Samagri,,,,,
HAWAN SAMAGRI,Puja Samagri,,,,,
JANTI,Puja Samagri,,,,,
JOB,Puja Samagri,,,,,
KAJOL LATA,Puja Samagri,,,,,
KAMBAL ASAN,Puja Samagri,,,,,
KANSA GLASS,Puja Samagri,,,,,
KANSA THALA,Puja Samagri,,,,,
KANSDA BATI,Puja Samagri,,,,,
KAPUR 1,Puja Samagri,,,,,
KAPUR 2,Puja Samagri,,,,,
KHADAM,Puja Samagri,,,,,
KODI,Puja Samagri,,,,,
KUSH,Puja Samagri,,,,,
KUSHA ASAN,Puja Samagri,,,,,
LAL CHANDAN,Puja Samagri,,,,,
LAL DHAGA 1,Puja Samagri,,,,,
LOKHI CHUBRI,Puja Samagri,,,,,
LOKHI PACHALI,Puja Samagri,,,,,
LOMBA TULO,Puja Samagri,,,,,
LOOSE TULO,Puja Samagri,,,,,
MADHU,Puja Samagri,,,,,
MADUR,Puja Samagri,,,,,
MALA 1,Puja Samagri,,,,,
MALA 2,Puja Samagri,,,,,
MALA 3,Puja Samagri,,,,,
MALA 4,Puja Samagri,,,,,
MASKOLAI,Puja Samagri,,,,,
MODHUPORKER BATI,Puja Samagri,,,,,
MOULI 1,Puja Samagri,,,,,
MOULI 2,Puja Samagri,,,,,
MUKUT,Puja Samagri,,,,,
NAOA,Puja Samagri,,,,,
PAKHA,Puja Samagri,,,,,
PANCHA GURI,Puja Samagri,,,,,
PANCHA SASYA,Puja Samagri,,,,,
PITTAL PRADIP,Puja Samagri,,,,,
POITA,Puja Samagri,,,,,
SADA CHANDAN,Puja Samagri,,,,,
SADA SORSE,Puja Samagri,,,,,
SANKHA,Puja Samagri,,,,,
SAREE,Puja Samagri,,,,,
SINDOOR 1,Puja Samagri,,,,,
SINDOOR 2,Puja Samagri,,,,,
SINDOOR 3,Puja Samagri,,,,,
SUPARI,Puja Samagri,,,,,
TEL 1,Puja Samagri,,,,,
TEL 2,Puja Samagri,,,,,
TEL 3,Puja Samagri,,,,,
TIL,Puja Samagri,,,,,
TIR KATHI,Puja Samagri,,,,,
02. Register,Stationary,,,,,
05/- Pen,Stationary,,,,,
06. register,Stationary,,,,,
08 register,Stationary,,,,,
10/- Pen,Stationary,,,,,
A4 bundle,Stationary,,,,,
A4 envelop,Stationary,,,,,
Bag file,Stationary,,,,,
Board duster,Stationary,,,,,
Bold permanent marker,Stationary,,,,,
Bold whiteboard marker,Stationary,,,,,
Bond paper bundle,Stationary,,,,,
Book cover,Stationary,,,,,
Calculator,Stationary,,,,,
Camel acrylic colours black,Stationary,,,,,
Camel acrylic colours blue,Stationary,,,,,
Camel acrylic colours burnt umber,Stationary,,,,,
Camel acrylic colours crimson,Stationary,,,,,
Camel acrylic colours deep green,Stationary,,,,,
Camel acrylic colours light green,Stationary,,,,,
Camel acrylic colours light peach,Stationary,,,,,
Camel acrylic colours maroon,Stationary,,,,,
Camel acrylic colours orange,Stationary,,,,,
Camel acrylic colours sap green,Stationary,,,,,
Camel acrylic colours silver,Stationary,,,,,
Camel acrylic colours white,Stationary,,,,,
Camel poster colour,Stationary,,,,,
Camlin paste Glue,Stationary,,,,,
Cello tape cutter large,Stationary,,,,,
Cello tape cutter small,Stationary,,,,,
Cello tape medium,Stationary,,,,,
Cello tape slim,Stationary,,,,,
Cello tape wide,Stationary,,,,,
Cello tape wide brown,Stationary,,,,,
Clips,Stationary,,,,,
Colourful eraser,Stationary,,,,,
Copy Nameplate,Stationary,,,,,
Correction pen,Stationary,,,,,
Correction tape,Stationary,,,,,
Craft paper,Stationary,,,,,
Cutter,Stationary,,,,,
Doms acrylic colours 12 shades,Stationary,,,,,
Doms colour cake,Stationary,,,,,
Doms colour pencil 12 shades,Stationary,,,,,
Doms sketch max 14 pen,Stationary,,,,,
Double tape,Stationary,,,,,
DVD marker 4 colour,Stationary,,,,,
English copy,Stationary,,,,,
Exam board,Stationary,,,,,
Fevi gum,Stationary,,,,,
