name,category,subCategory,costPrice,sellingPrice,currentStock,lowStockThreshold
Earing Top (5/-),Cosmetics,Earings,,5,308,
Earing Top (10/-),Cosmetics,Earings,,10,428,
Earing Top ( 20/-),Cosmetics,Earings,,20,236,
Earing Jhumka ( 20/-),Cosmetics,Earings,,20,12,
Earing Tops (30/-),Cosmetics,Earings,,30,100,
Earing Jhumka ( 30/-),Cosmetics,Earings,,30,38,
Earing Jhumka (40/-),Cosmetics,Earings,,40,41,
Earing Jhumka (50/-),Cosmetics,Earings,,50,185,
Earing Jhumka (60/-),Cosmetics,Earings,,60,35,
Earing Jhumka (80/-),Cosmetics,Earings,,80,10,
Earing Jhumka (110/-),Cosmetics,Earings,,110,28,
Earing Jhumka (120/-),Cosmetics,Earings,,120,59,
Earing Jhumka (200/-),Cosmetics,Earings,,200,14,
Earing Ring (20/-),Cosmetics,Earings,,20,12,
Earing Ring (30/-),Cosmetics,Earings,,30,6,
Earing Ring (60/-),Cosmetics,Earings,,60,3,
Chain Earing(150/-),Cosmetics,Earings,,150,2,
Chain Earing(240/-),Cosmetics,Earings,,240,3,
City Gold Earing (30/-),Cosmetics,City Gold Earing,,30,12,
City Gold Earing (40/-),Cosmetics,City Gold Earing,,40,20,
City Gold Earing (60/-),Cosmetics,City Gold Earing,,60,5,
City Gold Earing (120/-),Cosmetics,City Gold Earing,,120,101,
City Gold Earing (150/-),Cosmetics,City Gold Earing,,150,83,
Multicolour Glass Bangle (2-8),Cosmetics,Glass Bangals,,100,24,
Multicolour Glass Bangle (4 Set),Cosmetics,Glass Bangals,,80,11,
Plain Slim Bangal (2-8),Cosmetics,Glass Bangals,,40,3,
Plain Slim Bangal (2-6),Cosmetics,Glass Bangals,,40,5,
Plain Slim Bangal (2-4),Cosmetics,Glass Bangals,,40,17,
Plain Slim Bangal (2-2),Cosmetics,Glass Bangals,,40,2,
Glitter Glass Bangle (2-4),Cosmetics,Glass Bangals,,70,7,
Glitter Glass Bangal (2-6),Cosmetics,Glass Bangals,,70,7,
Stone Multi Colour Glass Bangal (2-2),Cosmetics,Glass Bangals,,100,4,
Stone Multi Colour Glass Bangal (2-4),Cosmetics,Glass Bangals,,100,25,
Stone Multi Colour Glass Bangal (2-6),Cosmetics,Glass Bangals,,100,24,
Stone Multi Colour Glass Bangal (2-8),Cosmetics,Glass Bangals,,100,5,
Plastic Stone Bangal(2-8),Cosmetics,Glass Bangals,,100,1,
Bridal Set(100/-),Cosmetics,Glass Bangals,,100,6,
Bridal Set(120/-),Cosmetics,Glass Bangals,,120,3,
